# Detailed performance comparison of introsort::sort and std::slice::sort.
# I benchmark various "patterns" (methods of generating lists), modified 
# by varioues "variants" (ways of "shuffling" the generated list).
# These patterns and variant are parametrized by a parameters m.
#
# The patterns are
# * sawtooth: v[i] = i % m
# * rand: v[i] = random()
# * stagger: v[i] = (i*m + i) % size
# * plateau: v[i] = min(i, m)
# * shuffle: if random() / m == 0 { j+=2; j } else { k += 2; k }
#
# The variations are
# * ident: no change
# * reverse: reversed
# * reverse_front: first half reversed
# * reverse_back: second hald reversed
# * sort: sorted
# * dither: v[i] += i % 5
#
# The type of the elements sorted was i32.
# Listed below are values for throughput (elements / microsecond).
# Taking the geometric mean for introsort we get 93.8, compared to 37.0 for std.
#
# Both algorithms use insertion sort for small lists, so size = 10 only compares
# the repective insertion sort implementations.
# For larger values it can be seen that introsort is many times faster than std when
# the list has few unique elements or is (partially) sorted.

size     m        pattern   variant        introsort  std    introsort/std
10000    16384    shuffle   ident          149.4      45.6   3.28
10000    16384    shuffle   reverse        126.3      30.0   4.21
10000    16384    shuffle   reverse_front  127.6      35.0   3.65
10000    16384    shuffle   reverse_back   122.5      35.7   3.43
10000    16384    shuffle   sort           151.0      47.2   3.20
10000    16384    shuffle   dither         139.6      46.6   3.00
1000000  1        sawtooth  ident          559.8      28.2   19.87
1000000  1        sawtooth  reverse        569.2      28.1   20.23
1000000  1        sawtooth  reverse_front  569.3      28.4   20.07
1000000  1        sawtooth  reverse_back   558.2      28.2   19.78
1000000  1        sawtooth  sort           547.4      27.8   19.66
1000000  1        sawtooth  dither         222.1      17.4   12.77
1000000  1        rand      ident          13.5       14.7   0.92
1000000  1        rand      reverse        13.5       14.7   0.92
1000000  1        rand      reverse_front  13.5       14.5   0.93
1000000  1        rand      reverse_back   13.4       14.7   0.92
1000000  1        rand      sort           103.8      28.0   3.71
1000000  1        rand      dither         13.5       14.6   0.93
1000000  1        stagger   ident          37.5       26.1   1.43
1000000  1        stagger   reverse        36.8       19.2   1.92
1000000  1        stagger   reverse_front  37.2       22.4   1.66
1000000  1        stagger   reverse_back   37.6       21.9   1.72
1000000  1        stagger   sort           98.3       25.4   3.86
1000000  1        stagger   dither         35.0       26.5   1.32
1000000  1        plateau   ident          561.7      28.1   19.97
1000000  1        plateau   reverse        569.6      28.3   20.16
1000000  1        plateau   reverse_front  571.5      28.3   20.18
1000000  1        plateau   reverse_back   567.9      28.0   20.31
1000000  1        plateau   sort           549.1      28.0   19.61
1000000  1        plateau   dither         225.3      17.5   12.90
1000000  1        shuffle   ident          102.6      28.2   3.63
1000000  1        shuffle   reverse        90.8       20.5   4.43
1000000  1        shuffle   reverse_front  92.1       23.0   4.00
1000000  1        shuffle   reverse_back   90.1       23.2   3.89
1000000  1        shuffle   sort           102.7      28.2   3.65
1000000  1        shuffle   dither         96.3       27.6   3.49
1000000  2        sawtooth  ident          382.7      20.4   18.80
1000000  2        sawtooth  reverse        383.9      20.0   19.16
1000000  2        sawtooth  reverse_front  383.3      20.3   18.86
1000000  2        sawtooth  reverse_back   382.1      20.3   18.82
1000000  2        sawtooth  sort           371.2      28.2   13.18
1000000  2        sawtooth  dither         200.1      17.4   11.51
1000000  2        rand      ident          13.6       14.7   0.92
1000000  2        rand      reverse        13.5       14.8   0.91
1000000  2        rand      reverse_front  13.5       14.6   0.92
1000000  2        rand      reverse_back   13.5       14.8   0.91
1000000  2        rand      sort           101.5      28.0   3.62
1000000  2        rand      dither         13.6       14.7   0.92
1000000  2        stagger   ident          32.7       25.8   1.27
1000000  2        stagger   reverse        33.1       19.5   1.70
1000000  2        stagger   reverse_front  32.8       22.0   1.49
1000000  2        stagger   reverse_back   32.7       21.0   1.56
1000000  2        stagger   sort           102.6      28.3   3.62
1000000  2        stagger   dither         31.8       25.6   1.24
1000000  2        plateau   ident          562.0      27.9   20.15
